"station_id","longitude","latitude","numtrips.start","numtrips.stop","netflow","use","zip","adi_state_rank","adi_national_rank","food_min_dist","food_500","bus_min_dist","bus_500"
"ch100",-87.63639,41.888243,16771,18630,1859,35401,60602,5.94736842105263,68.2105263157895,79.6533790439579,361,219.978559836318,2
"ch101",-87.57612,41.781016,1068,1058,-10,2126,60649,5.21428571428571,60.7142857142857,850.526192426898,0,2473.42247449552,0
"ch102",-87.58534,41.773458,374,387,13,761,60649,5.21428571428571,60.7142857142857,93.471878936229,11,1867.80219923922,0
"ch103",-87.640949065,41.87146676,1902,2739,837,4641,60402,6.59090909090909,72.0909090909091,64.6718340456191,36,452.31636556131,2
"ch106",-87.628722,41.897448,11203,10799,-404,22002,60611,5.82352941176471,67.2352941176471,29.5289746819637,384,97.4732759327921,2
"ch107",-87.643909,41.878287,9304,9081,-223,18385,60402,6.59090909090909,72.0909090909091,67.9097721771651,187,390.019492671922,2
"ch108",-87.64664,41.87184,7337,7422,85,14759,60607,5.33333333333333,62.2777777777778,47.8690606340573,5,477.223397265445,2
"ch109",-87.650019,41.874675,4813,4426,-387,9239,60607,5.33333333333333,62.2777777777778,232.683161216973,52,92.4477743678808,2
"ch11",-87.57645,41.766638,247,216,-31,463,60619,5.35714285714286,62.5714285714286,92.7213607502645,26,2878.14214391268,0
"ch110",-87.629318,41.893992,21772,22348,576,44120,60611,5.82352941176471,67.2352941176471,20.1430786907827,598,279.98000922533,4
"ch111",-87.638437,41.894666,10025,10062,37,20087,60654,5.86666666666667,68.1333333333333,24.0396634486282,195,735.30938303292,0
"ch112",-87.64867,41.883668,13003,14694,1691,27697,60606,5.61111111111111,64.7222222222222,13.52331863734,323,361.783274771368,2
"ch113",-87.65222,41.91844,11818,13104,1286,24922,60614,5.82352941176471,67.2352941176471,17.0033942348769,128,43.0195930842205,2
"ch114",-87.654242,41.946966,15421,18016,2595,33437,60618,5.4,63.3333333333333,7.30307676221445,213,72.4034196319123,2
"ch115",-87.653566,41.936253,12916,13107,191,26023,60613,5.82352941176471,67.1176470588235,15.8665818184772,190,34.8730308864904,8
"ch116",-87.687051,41.915533,7614,7369,-245,14983,60647,5.1875,60.125,21.7752149864252,85,74.0131921336671,2
"ch117",-87.65304,41.94018,18387,19479,1092,37866,60613,5.82352941176471,67.1176470588235,33.3175579699384,272,55.3670960806776,6
"ch118",-87.638677,41.911386,11266,10524,-742,21790,60610,5.625,63.9375,15.0229285177758,111,120.269474097951,2
"ch119",-87.66732,41.88541,4903,4923,20,9826,60622,6.125,69.9375,19.4502418584881,38,33.0754514778406,2
"ch12",-87.565688,41.766409,684,631,-53,1315,60619,5.35714285714286,62.5714285714286,56.2169082844239,30,3679.38346155106,0
"ch120",-87.631886,41.853605,5303,6104,801,11407,60616,5.82352941176471,67.1764705882353,48.096465021881,218,88.1772023875477,4
"ch121",-87.590368,41.802562,2259,2094,-165,4353,60615,5.76470588235294,67,62.6747339544747,102,2464.41079601871,0
"ch122",-87.67328,41.87501,2901,2520,-381,5421,60612,5.82352941176471,67.1176470588235,141.022130499839,30,94.3690543819676,4
"ch123",-87.697153,41.922695,8858,8974,116,17832,60625,5.25,62,11.7667732238011,97,86.7580135669105,2
"ch124",-87.675726,41.855048,1688,1935,247,3623,60608,5.33333333333333,62.3333333333333,39.3753392433993,51,62.4978290296882,2
"ch125",-87.626293,41.890011,11229,14047,2818,25276,60601,5.94736842105263,68.2105263157895,42.0939371712902,736,233.059165582653,2
"ch126",-87.631942,41.911974,11426,11510,84,22936,60610,5.625,63.9375,102.356106775149,126,634.888400390016,0
"ch127",-87.64926,41.925905,9489,9308,-181,18797,60614,5.82352941176471,67.2352941176471,17.7300672248554,153,313.788525092014,4
"ch128",-87.67722,41.895769,10416,11088,672,21504,60622,6.125,69.9375,9.06171796527937,81,1225.50096683484,0
"ch129",-87.661535,41.857556,5107,5172,65,10279,606,5.76190476190476,64.1904761904762,26.3102019467429,99,633.270837279566,0
"ch13",-87.652705,41.932418,12672,13014,342,25686,60613,5.82352941176471,67.1176470588235,14.4990665970909,123,49.6457785533705,4
"ch130",-87.67695,41.90331,10838,10647,-191,21485,60622,6.125,69.9375,24.7521479276229,125,715.775288128159,0
"ch131",-87.668385,41.939365,6230,6407,177,12637,60657,5.35714285714286,63,23.6892373076935,99,517.123860938216,0
"ch132",-87.631715,41.849237,1337,1625,288,2962,60616,5.82352941176471,67.1764705882353,23.5962147507788,131,445.181588099239,2
"ch133",-87.638506,41.889177,31100,31240,140,62340,60602,5.94736842105263,68.2105263157895,109.6297944906,210,380.981908245674,4
"ch134",-87.649633,41.877749,14441,14474,33,28915,60607,5.33333333333333,62.2777777777778,5.58438274660877,80,252.760925018986,2
"ch135",-87.64665,41.85378,1217,1252,35,2469,60608,5.33333333333333,62.3333333333333,8.99291515847933,18,1303.80134577394,0
"ch136",-87.656959,41.865054,741,790,49,1531,60608,5.33333333333333,62.3333333333333,476.770869816728,12,1268.84774317752,0
"ch137",-87.651062,41.862378,4232,4078,-154,8310,60608,5.33333333333333,62.3333333333333,419.594917665945,35,1458.92583782999,0
"ch138",-87.640552,41.904613,6047,5886,-161,11933,60610,5.625,63.9375,13.5719210828786,28,652.071086129103,0
"ch14",-87.651073,41.858086,3604,3931,327,7535,60608,5.33333333333333,62.3333333333333,13.6679471349328,40,1500.89952962441,0
"ch140",-87.629912,41.898969,16705,17757,1052,34462,60611,5.82352941176471,67.2352941176471,132.918283405152,299,293.089296253273,2
"ch141",-87.6346,41.915689,20600,20476,-124,41076,60610,5.625,63.9375,31.8927153192639,61,704.348262957625,0
"ch142",-87.617854,41.894503,14262,14223,-39,28485,60611,5.82352941176471,67.2352941176471,49.1074386439794,267,889.785837035992,0
"ch143",-87.638888,41.922167,12147,11291,-856,23438,60614,5.82352941176471,67.2352941176471,28.4685769610228,103,1202.90787847716,0
"ch144",-87.64414,41.921822,12602,12169,-433,24771,60614,5.82352941176471,67.2352941176471,13.4079857978753,105,807.804626108473,0
"ch145",-87.621915,41.898587,13788,13010,-778,26798,60611,5.82352941176471,67.2352941176471,13.0369076021817,305,561.454333074575,0
"ch146",-87.662007,41.877945,5185,4958,-227,10143,60607,5.33333333333333,62.2777777777778,222.237478754868,38,911.805997657807,0
"ch147",-87.62248,41.8457,1934,1884,-50,3818,60616,5.82352941176471,67.1764705882353,265.817176783354,12,885.651900757859,0
"ch148",-87.625813,41.834734,4614,4970,356,9584,60616,5.82352941176471,67.1764705882353,187.92790091197,16,339.542847339767,2
"ch149",-87.61793,41.8349,3037,2738,-299,5775,60616,5.82352941176471,67.1764705882353,184.3523630368,31,747.225677725934,0
"ch15",-87.656495,41.858166,3955,4003,48,7958,60608,5.33333333333333,62.3333333333333,20.1262474315856,65,1050.94522848953,0
"ch150",-87.608218,41.838556,10639,11001,362,21640,60616,5.82352941176471,67.1764705882353,47.703457994686,2,1650.1398836749,0
"ch152",-87.658617,41.932225,8723,8328,-395,17051,60613,5.82352941176471,67.1176470588235,47.6025769436136,75,458.47106853482,2
"ch153",-87.663576,41.935733,11888,11497,-391,23385,60657,5.35714285714286,63,22.4259838575488,109,855.69733757047,0
"ch154",-87.66378,41.93949,5934,5750,-184,11684,60657,5.35714285714286,63,10.6068208587223,97,472.689516219607,2
"ch156",-87.647539,41.936497,12650,12739,89,25389,60614,5.82352941176471,67.2352941176471,41.7150832302106,298,477.747455473646,2
"ch157",-87.636794,41.936669,13500,13912,412,27412,60614,5.82352941176471,67.2352941176471,56.5364777184341,16,1367.90216242661,0
"ch158",-87.681391,41.912616,7969,8097,128,16066,60647,5.1875,60.125,13.7721531055874,162,457.57436541116,2
"ch159",-87.685854,41.907781,3057,3043,-14,6100,60647,5.1875,60.125,120.465192383996,44,731.59514587169,0
"ch16",-87.670072,41.910337,7058,6884,-174,13942,60622,6.125,69.9375,64.4719069482499,127,614.594103985829,0
"ch160",-87.689556,41.910535,3141,3163,22,6304,60647,5.1875,60.125,51.8903058717063,48,650.386228535034,0
"ch161",-87.625908,41.895765,12038,11242,-796,23280,60611,5.82352941176471,67.2352941176471,18.7705442190263,616,213.423803446748,4
"ch162",-87.67842,41.93588,3958,4373,415,8331,60646,5.4375,63.875,338.495149705588,10,1061.99742242665,0
"ch163",-87.677856,41.931931,3386,3659,273,7045,60646,5.4375,63.875,105.970858594222,7,1420.77963208174,0
"ch164",-87.6355,41.885837,13624,12825,-799,26449,60602,5.94736842105263,68.2105263157895,24.1936087220433,470,371.653261310373,8
"ch165",-87.659172,41.95078,6440,5981,-459,12421,60618,5.4,63.3333333333333,29.8995802885423,126,484.175453553866,4
"ch166",-87.668507,41.92883,4913,5052,139,9965,60657,5.35714285714286,63,18.0847613833576,72,1346.92615369148,0
"ch167",-87.67564,41.8492,386,400,14,786,60608,5.33333333333333,62.3333333333333,49.7040463903651,35,591.21623011376,0
"ch168",-87.623727,41.864059,8502,8599,97,17101,60605,5.61111111111111,64.7222222222222,18.140720177452,97,441.156768145073,4
"ch169",-87.639566,41.874337,3410,3074,-336,6484,60402,6.59090909090909,72.0909090909091,31.5176746368116,90,177.989637642128,2
"ch17",-87.67273,41.90332,7396,7568,172,14964,60622,6.125,69.9375,12.827574168788,165,517.287184799918,0
"ch170",-87.640826,41.85795,2854,2951,97,5805,60608,5.33333333333333,62.3333333333333,47.8524082161574,11,973.513033659334,0
"ch171",-87.654127,41.855136,1163,1131,-32,2294,60608,5.33333333333333,62.3333333333333,187.454288807307,48,1284.65068223916,0
"ch172",-87.627691,41.902309,10464,10541,77,21005,60611,5.82352941176471,67.2352941176471,21.2250932728435,246,627.512092849706,0
"ch173",-87.621743,41.89691,13946,14735,789,28681,60611,5.82352941176471,67.2352941176471,16.271777628245,411,534.498948176298,0
"ch174",-87.639833,41.882091,36064,39590,3526,75654,60602,5.94736842105263,68.2105263157895,12.3821659311759,471,430.001482607697,2
"ch175",-87.633523,41.872373,9319,7363,-1956,16682,60605,5.61111111111111,64.7222222222222,35.7349746473143,80,385.079712933694,2
"ch176",-87.631253,41.903233,20231,20364,133,40595,60611,5.82352941176471,67.2352941176471,49.9861097199089,187,772.279943994428,0
"ch177",-87.630834,41.926277,47927,51281,3354,99208,60614,5.82352941176471,67.2352941176471,17.7202431041083,8,1832.55733123256,0
"ch178",-87.627542,41.856594,3190,3275,85,6465,60605,5.61111111111111,64.7222222222222,21.6945707974376,103,397.840680589253,4
"ch179",-87.61615,41.82256,702,688,-14,1390,60637,5.5,63.375,55.3163778799219,3,443.408247496179,2
"ch18",-87.637313,41.883272,14240,13839,-401,28079,60602,5.94736842105263,68.2105263157895,26.8144537102084,559,300.168798700816,4
"ch180",-87.626402,41.906782,7592,7089,-503,14681,60611,5.82352941176471,67.2352941176471,208.495248017803,55,1132.64894638341,0
"ch181",-87.63206,41.890749,20365,21559,1194,41924,60602,5.94736842105263,68.2105263157895,31.0925099824443,587,251.037760670122,4
"ch182",-87.634324,41.903222,11878,11869,-9,23747,60611,5.82352941176471,67.2352941176471,16.675299176627,154,888.656262027826,0
"ch183",-87.677234,41.899714,7295,7202,-93,14497,60622,6.125,69.9375,14.4459070453522,132,978.502831998441,0
"ch184",-87.62688,41.83104,2116,2465,349,4581,60616,5.82352941176471,67.1764705882353,12.3844549439804,21,112.568412700968,4
"ch185",-87.691392,41.917741,2440,2337,-103,4777,60647,5.1875,60.125,11.5165603228334,85,377.643418526079,2
"ch186",-87.658751,41.891795,6513,6386,-127,12899,60642,5.82352941176471,67.1176470588235,12.4675095711374,68,558.7040201944,0
"ch188",-87.6658,41.92533,5482,6021,539,11503,60614,5.82352941176471,67.2352941176471,33.0609840401534,112,1073.29342144789,0
"ch19",-87.660996,41.869417,6230,6478,248,12708,60607,5.33333333333333,62.2777777777778,25.4703819627993,74,747.077803031452,0
"ch190",-87.663913,41.928773,7812,7509,-303,15321,60657,5.35714285714286,63,42.3663859074117,70,996.531624256343,0
"ch191",-87.639525,41.880884,17451,12889,-4562,30340,60602,5.94736842105263,68.2105263157895,26.3964193670317,463,517.546384840935,0
"ch192",-87.639904,41.879255,33390,30492,-2898,63882,60602,5.94736842105263,68.2105263157895,35.5393728031166,331,422.363665716906,2
"ch193",-87.626938,41.841707,666,659,-7,1325,60616,5.82352941176471,67.1764705882353,413.567526959283,8,1117.85571201904,0
"ch194",-87.62603,41.886875,13187,13529,342,26716,60601,5.94736842105263,68.2105263157895,43.9300216752727,611,273.052786836117,6
"ch195",-87.619521,41.884728,28118,19623,-8495,47741,60601,5.94736842105263,68.2105263157895,24.9274727402516,193,688.295366571544,0
"ch196",-87.622072,41.890573,11507,11073,-434,22580,60601,5.94736842105263,68.2105263157895,51.3279397406361,508,508.398623028328,0
"ch197",-87.625125,41.882134,11563,11742,179,23305,60601,5.94736842105263,68.2105263157895,15.9985023692905,548,263.330497424539,12
"ch198",-87.648789,41.881892,15573,16335,762,31908,60606,5.61111111111111,64.7222222222222,85.1777274380177,272,498.1667772716,2
"ch199",-87.626937,41.891738,23379,24432,1053,47811,60611,5.82352941176471,67.2352941176471,6.02588384953326,709,90.3269984145467,2
"ch2",-87.623975,41.8726525,13294,12423,-871,25717,60605,5.61111111111111,64.7222222222222,34.2264822587676,149,329.134363885408,2
"ch20",-87.653106,41.910522,9642,10758,1116,20400,60622,6.125,69.9375,13.139736598465,93,326.310494935566,2
"ch200",-87.616279,41.809851,456,362,-94,818,60628,4.875,58.6875,34.483487117246,31,223.3381860225,2
"ch201",-87.6216,41.82168,370,336,-34,706,60653,5.86666666666667,68.1333333333333,248.668365435846,11,19.8830321789113,2
"ch202",-87.646277,41.857499,2770,2395,-375,5165,60608,5.33333333333333,62.3333333333333,21.5659563027799,27,1357.71503914639,0
"ch203",-87.685243,41.85394,1089,1213,124,2302,60608,5.33333333333333,62.3333333333333,24.8791937449519,37,33.0402672766591,2
"ch204",-87.618691,41.794853,1593,1524,-69,3117,60621,6.125,69.9375,61.9816000351034,9,46.5906043308946,2
"ch205",-87.668745,41.857901,3359,3226,-133,6585,60608,5.33333333333333,62.3333333333333,31.9660468397128,86,33.3890542770376,2
"ch206",-87.646795,41.847203,2543,2593,50,5136,60608,5.33333333333333,62.3333333333333,75.789033089627,21,1473.79726173441,0
"ch207",-87.645368,41.84358,1698,1562,-136,3260,60616,5.82352941176471,67.1764705882353,143.8266211693,18,1604.1307689577,0
"ch208",-87.665897,41.85381,1064,1190,126,2254,60608,5.33333333333333,62.3333333333333,168.822025096683,79,529.157484445041,0
"ch209",-87.640591,41.849527,1268,1190,-78,2458,60608,5.33333333333333,62.3333333333333,42.1438061785031,20,897.540218738353,0
"ch21",-87.654787,41.877726,9425,9457,32,18882,60607,5.33333333333333,62.2777777777778,120.51247282779,60,490.297570328536,2
"ch210",-87.667747,41.90345,15073,16583,1510,31656,60622,6.125,69.9375,23.6194970022084,125,104.337836644245,2
"ch211",-87.622663,41.894448,20463,24739,4276,45202,60611,5.82352941176471,67.2352941176471,21.8056528911636,539,519.878505886344,0
"ch212",-87.636928,41.892154,15466,15614,148,31080,60606,5.61111111111111,64.7222222222222,20.0397060198914,306,432.784722267616,2
"ch213",-87.68229,41.910153,5997,6218,221,12215,60647,5.1875,60.125,45.4182101045106,162,405.195769629107,2
"ch214",-87.67686,41.89122,5677,5529,-148,11206,60622,6.125,69.9375,81.6252444762519,14,1053.94116710481,0
"ch215",-87.67493,41.88137,2558,2442,-116,5000,60612,5.82352941176471,67.1176470588235,55.6067866042662,27,634.536702073128,0
"ch216",-87.697474,41.903029,2569,3093,524,5662,60302,6.71428571428571,72.75,37.3392299871116,40,1682.19733699316,0
"ch217",-87.656001,41.886773,8179,8255,76,16434,60622,6.125,69.9375,21.7494463288051,154,342.453450641898,2
"ch218",-87.633879,41.856802,1266,1062,-204,2328,60616,5.82352941176471,67.1764705882353,230.324025341931,143,466.860789431076,2
"ch219",-87.677411,41.916027,9063,8998,-65,18061,60647,5.1875,60.125,27.4605327097036,75,697.86614800009,0
"ch22",-87.655486,41.869482,6653,6607,-46,13260,60607,5.33333333333333,62.2777777777778,7.24622506255336,53,820.425463413764,0
"ch220",-87.642385,41.93262,13065,14130,1065,27195,60614,5.82352941176471,67.2352941176471,51.3856616303331,218,891.338937572333,0
"ch222",-87.693033,41.920195,2782,2628,-154,5410,60625,5.25,62,8.89962064909112,76,374.020361549322,2
